coords,nb_x,nb_y,nb_likelihood,nt_x,nt_y,nt_likelihood,ad_x,ad_y,ad_likelihood
217,153.6253967,210.3448792,1,155.3331757,246.8071289,1,202.8031006,347.664032,1
218,154.1006622,210.3056488,1,155.5434723,246.7823029,1,202.6675262,347.8121033,1
219,154.3858948,210.0080109,1,155.5480652,246.6160583,1,202.5560455,347.8121033,1
220,154.9262848,209.4213867,1,155.662262,246.2889557,1,202.483551,347.8121033,1
221,155.3525085,208.9210663,1,155.7221375,245.8435059,1,202.483551,347.7805176,1
222,155.7756348,208.1183319,1,156.4238129,245.1733246,1,202.483551,347.6118469,1
223,156.7527466,207.2723236,1,156.6839905,244.4617157,1,202.4353943,347.6118469,1
224,157.2913513,206.5948029,1,157.2322845,243.5868225,1,202.4353943,347.6118469,1
225,157.9638214,206.0188293,1,157.8507385,242.7181854,1,202.5011292,347.6530151,1
226,159.0929413,205.8582306,1,158.9031525,241.9811249,1,202.4227448,347.6852112,1
227,160.1629791,205.3656769,1,160.0990906,241.4141846,1,202.3969421,347.699585,1
228,161.2775116,204.4465485,1,161.0005798,240.524704,1,202.4227448,347.7180176,1
229,162.0821381,203.6018982,1,162.0912933,239.5260468,1,202.5592957,347.7180176,1
230,163.2707367,202.450531,1,163.4446564,238.9408417,1,202.7045898,347.7180176,1
231,164.2258301,202.2439575,1,163.8400574,238.2837524,1,202.7045898,347.4247742,1
232,164.4048309,201.7922211,1,163.8400574,237.1537628,1,202.7045898,347.1445007,1
233,164.4048309,200.9223175,1,163.8400574,235.9314423,1,202.5141754,347.1083069,1
234,164.4048309,199.5480499,1,162.8592529,234.8385925,1,201.7825317,346.7149963,1
235,162.6013641,197.9345703,1,159.9868317,232.4897919,1,201.4531708,345.8684082,1
236,160.4978638,197.569046,1,156.0497437,231.1550751,1,200.4891052,344.1544495,1
237,157.412323,196.7487793,1,152.0362091,230.6627808,1,199.3452454,343.2374878,1
238,154.3044128,195.633606,1,148.4627838,229.8426666,1,197.1562958,341.5557251,1
239,152.3843994,195.0796509,1,146.1589355,228.9754486,1,196.2911987,340.7182007,1
240,150.5842285,195.0796509,1,143.7705536,227.8289642,1,195.2058716,340.1841125,1
241,149.2890778,195.0796509,1,142.5673676,227.1869659,1,195.0603027,339.5623474,1
242,148.1946716,195.6601868,1,141.3244781,226.8029633,1,194.9164124,339.4508362,1
243,147.2711182,195.888443,1,140.5713654,226.4609985,1,194.6226349,339.1145325,1
244,146.9369812,195.888443,1,139.9985657,226.129776,1,194.1532593,339.0432434,1
245,146.9104309,195.888443,1,139.7287445,226.0324097,1,194.109024,339.0132446,1
246,146.9077759,195.4892426,1,139.42099,225.9890442,1,193.6687317,338.6625977,1
247,146.9077759,195.0750732,1,139.417511,225.425766,1,193.6027222,338.4152832,1
248,146.9077759,194.5138702,1,139.417511,225.1144409,1,193.3592529,338.2573242,1
249,146.9104309,194.0899811,1,139.417511,224.2882843,1,193.3592529,337.8675537,1
250,147.3330994,193.5740051,1,139.6206512,223.5639801,1,193.3592529,337.7148438,1
251,148.2712555,193.1297607,1,140.4560394,223.3680115,1,193.4211884,337.7148438,1
252,149.5912781,193.1297607,1,141.4734802,223.1935425,1,193.6341858,337.7148438,1
253,150.7922668,193.1297607,1,142.7617493,223.1935425,1,193.9385834,338.0703735,1
254,151.4404297,193.405014,1,143.4906769,223.1935425,1,194.5564117,338.2650757,1
255,152.7263489,193.5008087,1,144.5104065,224.0670319,1,196.3657074,340.0848999,1
256,153.2793732,193.8785858,1,146.0955505,225.2555084,1,197.3448486,340.8887939,1
257,154.8930664,195.0875092,1,147.7392731,226.5740204,1,198.5410919,342.1737366,1
258,156.322464,195.3417664,1,148.6252747,227.3563232,1,199.5719604,342.6365967,1
259,156.7928925,195.9575653,1,149.6876068,228.4482574,1,200.2309265,343.3041077,1
260,157.3648071,197.1113129,1,150.6239624,230.1735687,1,200.9978485,343.945343,1
261,157.9266052,198.1475525,1,151.4973297,230.6736908,1,201.7274017,345.2017822,1
262,158.4135132,198.354126,1,152.3418732,231.3401947,1,202.1012421,345.4169006,1
263,158.7075806,198.8829498,1,152.9711304,232.0811462,1,202.1434631,345.5465088,1
264,159.2666626,199.1959229,1,153.48349,233.1345673,1,202.3209991,345.6025696,1
265,159.9237366,199.8611603,1,153.9953613,233.5991669,1,202.4600677,345.627594,1
266,159.9755402,200.594635,1,154.4259186,234.4271698,1,202.4600677,345.627594,1
267,160.2516022,201.1422272,1,155.2516327,234.4963074,1,203.3690338,345.6940002,1
268,160.2803497,201.9864807,1,155.9392242,235.5750885,1,203.461792,345.7794189,1
269,160.7787018,203.0746002,1,156.2973938,236.5678253,1,203.835434,345.7794189,1
270,161.2730713,203.5471802,1,156.5358124,237.3341064,1,203.964035,345.6940002,1
271,161.6402893,204.0218811,1,157.4046478,237.7874146,1,204.0447693,345.67453,1
272,161.9533539,204.062439,1,158.070816,237.9177551,1,204.0674133,345.623291,1
273,162.3680878,204.5443878,1,158.2559967,238.2006073,1,204.0447693,345.494873,1
274,162.3718262,204.9759827,1,158.6016083,238.4563904,1,204.0447693,345.4128418,1
275,162.7962646,205.0163269,1,159.0779114,238.4614868,1,204.0447693,345.3883362,1
276,162.9910278,205.0951691,1,159.5129089,238.5629272,1,204.0674133,345.3616638,1
277,163.4088593,205.2710876,1,160.3349304,238.8218689,1,204.3322906,345.26474,1
278,163.9181671,205.3089905,1,160.8681335,238.8460541,1,204.3751373,345.2382202,1
279,164.214325,205.3546753,1,161.1347656,238.9162598,1,204.3951569,345.2382202,1
280,164.3521881,205.5616608,1,161.1988831,239.3937988,1,204.3751373,345.2122192,1
281,164.4057312,205.9772644,1,161.3394165,240.0817261,1,204.3434448,345.1658936,1
282,164.4505463,206.504715,1,161.379303,240.8611298,1,204.3434448,345.1594543,1
283,164.6041107,206.504715,1,161.4429321,241.5387878,1,204.2957306,345.0519714,1
284,164.7169037,206.504715,1,161.8771362,241.6480713,1,204.045639,345.0519714,1
285,164.9450226,206.6369934,1,162.1437683,241.8876495,1,204.045639,345.150238,1
286,165.1446686,206.6369934,1,162.3365021,241.9326782,1,204.045639,345.0750732,1
287,165.2615204,206.6369934,1,162.4494781,242.0903168,1,204.045639,345.0750732,1
288,165.2615204,206.9320526,1,162.9845734,242.5255127,1,204.045639,345.0750732,1
289,165.2615204,207.3031006,1,162.9845734,242.7245331,1,204.0683899,344.9842529,1
290,164.9578705,207.9095154,1,162.9845734,243.4616547,1,204.0264893,344.9714355,1
291,164.4391937,208.9494629,1,162.2581482,244.9084167,1,204.0167999,344.9401245,1
292,162.8736877,210.2644043,1,161.0761719,246.2382507,1,203.5114746,344.5917358,1
293,161.2442932,211.1197205,1,159.9272308,246.737915,1,203.2426758,344.1558533,1
294,160.7513123,211.1955872,1,158.7633209,247.0310211,1,202.6604767,343.9647522,1
295,160.7513123,211.2802582,1,158.7633209,247.0408478,1,202.3785706,343.9563599,1
296,160.7513123,211.2802582,1,158.7633209,247.1035004,1,202.2688599,343.8872681,1
297,160.9447479,211.1955872,1,159.129425,247.1820221,1,202.1621399,343.7641602,1
298,161.3954773,211.1515656,1,159.129425,247.1820221,1,202.1569214,343.7276917,1
299,161.5983582,211.1188812,1,159.129425,247.1035004,1,201.733551,343.3005371,1
300,161.8924103,209.9497223,1,159.0917664,246.5179138,1,201.6625061,342.6927185,1
301,161.8924103,209.412323,1,159.0917664,245.9210205,1,201.5050507,342.5487976,1
302,161.9367828,209.1413727,1,159.0681152,245.2142639,1,201.4867096,342.4533081,1
303,161.9367828,208.7453308,1,159.0681152,244.716507,1,201.1757813,342.0126953,1
304,162.296051,208.3564148,1,159.0681152,244.5817413,1,200.9656982,341.7216797,1
305,162.296051,207.9865875,1,159.0681152,244.1137848,1,200.8143463,341.5573425,1
306,162.296051,207.455719,1,158.9628754,243.915741,1,200.6388245,341.3107605,1
